<X>, <Y>
2.120677610000000e-04, -2.141198470428757e+00
2.271095760000000e-04, 1.239535692370805e+00
2.421513670000000e-04, 1.432087045147987e+00
2.571931570000000e-04, 1.242790740655555e+00
2.722349720000000e-04, -3.202467537095792e-01
2.872767630000000e-04, -3.721674828826155e-01
3.023185530000000e-04, -4.099863142461269e-01
3.173603680000000e-04, 1.161035574841349e-01
3.324021590000000e-04, 2.279482150779726e-01
3.474439490000000e-04, -1.545676574462256e+00
3.624857640000000e-04, -8.074090142322835e-01
3.775275550000001e-04, 3.724778600331856e-03
3.925693690000000e-04, 2.150310844877516e-02
4.076111600000000e-04, 6.568912281682873e-01
4.226529510000000e-04, 6.977029424235256e-01
4.376947410000000e-04, 4.035671080851525e-01
4.527365790000000e-04, -5.013612335322547e-02
4.677783700000001e-04, -6.641757753914918e-01
4.828201610000000e-04, -4.291225645273961e-01
4.978619520000000e-04, -4.048309884835255e-01
5.129037420000001e-04, 9.294937323757291e-02
5.279455330000001e-04, -1.485740708489866e-01
5.429873710000000e-04, -1.513183362432967e-01
5.580291620000000e-04, -2.555240754098492e-01
5.730709530000001e-04, 7.374686278756242e-01
5.881127440000001e-04, 4.026464643572004e-01
6.031545340000000e-04, -2.920334482142947e-01
6.181963720000000e-04, -2.169591516819087e-01
6.332381630000001e-04, 2.843561766458684e-01
6.482799540000000e-04, 2.859077116038091e-01
6.633217450000001e-04, 6.050971530169474e-01
6.783635360000000e-04, 6.227468100606941e-01
6.934053260000000e-04, 6.371165564107846e-01
7.084471640000001e-04, 3.850414977323615e-01
7.234889550000001e-04, -7.435428238621469e-02
7.385307460000000e-04, 4.973052830641129e-02
7.535725370000001e-04, -2.233535547348987e-01
7.686143280000000e-04, 4.531861790692657e-02
7.836561650000001e-04, -8.865123351909442e-02
7.986979560000000e-04, 5.776983375214942e-03
8.137397470000000e-04, 8.720165620118242e-03
8.287815380000001e-04, -2.195806258924512e-01
8.438233290000000e-04, -1.456760568681920e-01
8.588651200000001e-04, -8.237605999214734e-02
8.739069100000001e-04, -6.262831332391097e-02
8.889487010000001e-04, 1.453760318371030e-01
9.039905850000001e-04, -4.025954004005725e-02
9.190323760000001e-04, 5.659180314218364e-02
9.340741670000000e-04, 1.120478486743535e-01
9.491159580000000e-04, 9.480391949465651e-02
9.641577490000001e-04, -2.958969918108706e-02
9.791995400000001e-04, -2.037762621692502e-01
9.942413310000001e-04, -4.641730938003071e-02
1.009283120000000e-03, 1.079200838076058e-01
1.024324910000000e-03, 9.011109604510086e-02
1.039366700000000e-03, -1.440961049034781e-01
1.054408490000000e-03, -2.678405762952419e-01
1.069450380000000e-03, -1.250981642300335e-01
1.084492170000000e-03, -2.070364040510713e-01
1.099533960000000e-03, -5.081911546494943e-01
1.114575750000000e-03, -5.338950403917371e-01
1.129617540000000e-03, -3.376389103096060e-01
1.144659330000000e-03, -4.918329480005734e-01
1.159701120000000e-03, -4.579645807837537e-01
1.174742910000000e-03, -3.047989409961188e-01
1.189784710000000e-03, -3.378144415297205e-01
1.204826500000000e-03, -2.738571276877942e-01
1.219868290000000e-03, -1.676134796116038e-01
1.234910170000000e-03, 1.878495409597494e-01
1.249951960000000e-03, 3.417509781882263e-01
1.264993750000000e-03, 3.339818988832876e-01
1.280035540000000e-03, 3.535757496122597e-01
1.295077340000000e-03, 5.536422808523840e-01
1.310119130000000e-03, 5.955228808974345e-01
1.325160920000000e-03, 7.359000697794044e-01
1.340202710000000e-03, 9.517417805010173e-01
1.355244500000000e-03, 8.904356584908302e-01
1.370286290000000e-03, 8.775789655599774e-01
1.385328080000000e-03, 9.827701611105230e-01
1.400369960000000e-03, 1.004011598904680e+00
1.415411760000000e-03, 8.553958309771124e-01
1.430453550000000e-03, 9.617634150506432e-01
1.445495340000000e-03, 6.304062701423007e-01
1.460537130000000e-03, 5.273950543194764e-01
1.475578920000000e-03, 5.271429187517852e-01
1.490620710000000e-03, 5.228521332482101e-01
1.505662500000000e-03, 2.545470038965502e-01
1.520704290000000e-03, 8.748426828022418e-02
1.535746080000000e-03, 4.214059708323394e-02
1.550787870000000e-03, -2.083813267800692e-01
1.565829660000000e-03, -4.763624127494570e-01
1.580871460000000e-03, -5.179251676734132e-01
1.595913250000000e-03, -6.834156625860192e-01
1.610955040000000e-03, -1.003330360669410e+00
1.625996830000000e-03, -1.272066050439489e+00
1.641038620000000e-03, -1.099929508933960e+00
1.656080600000000e-03, -1.047318113563800e+00
1.671122390000000e-03, -1.063637428422409e+00
1.686164180000000e-03, -1.025892409346159e+00
1.701205970000000e-03, -1.041951181258166e+00
1.716247760000000e-03, -9.648977782952286e-01
1.731289550000000e-03, -8.037854344108567e-01
1.746331340000000e-03, -6.141153303826811e-01
1.761373130000000e-03, -5.464250810702850e-01
1.776414920000000e-03, -3.604470337387033e-01
1.791456710000000e-03, -1.319074972199934e-01
1.806498510000000e-03, -2.205521493090845e-02
1.821540300000000e-03, 2.556830265558663e-01
1.836582090000000e-03, 4.150473895264065e-01
1.851623880000000e-03, 6.395659239630311e-01
1.866665670000000e-03, 5.165082655764970e-01
1.881707460000000e-03, 6.491835239335498e-01
1.896749250000000e-03, 6.927883135588964e-01
1.911791040000000e-03, 7.569294840866927e-01
1.926832830000000e-03, 7.510848606777852e-01
1.956916410000000e-03, 7.336566021581350e-01
2.002041970000000e-03, 6.431501317613911e-01
2.047167350000000e-03, 4.505529424686688e-01
2.092292720000000e-03, 2.055215745779094e-01
2.137418090000000e-03, 6.045934098654022e-02
2.182543460000000e-03, -6.840594959878268e-02
2.227668840000000e-03, -1.805240341883112e-01
2.272794210000000e-03, 8.476066258564592e-02
2.317919770000000e-03, 3.328525409401962e-01
2.363045140000000e-03, 7.068814061928226e-01
2.408170510000000e-03, 8.869975352769291e-01
2.453295890000000e-03, 1.179525022958982e+00
2.498421260000000e-03, 1.228891319952899e+00
2.543546630000000e-03, 1.089320722614307e+00
2.588672000000000e-03, 8.812785213214899e-01
2.648839350000000e-03, 4.780428987307795e-01
2.724048310000000e-03, -1.585895695007333e-01
2.799257260000000e-03, -6.325143108699737e-01
2.874466220000000e-03, -8.869722134245567e-01
2.949675170000000e-03, -9.884471882709887e-01
3.024884310000000e-03, -9.740230140345770e-01
3.100093270000000e-03, -7.927454239460504e-01
3.175302220000000e-03, -4.207511846174807e-01
3.250511360000000e-03, -4.109965302031940e-02
3.325720130000000e-03, 1.971534769616451e-01
3.400929270000000e-03, 1.618578207723855e-01
3.476138410000000e-03, 5.156629326252912e-02
3.551347180000000e-03, -2.063963658606813e-01
3.626556320000000e-03, -4.158040991569199e-01
3.701765090000000e-03, -6.480872146257263e-01
3.776974230000000e-03, -9.093087129854814e-01
3.852183370000000e-03, -8.302201165925204e-01
3.942434120000000e-03, -7.220077742994853e-01
4.047726470000000e-03, -3.849646870083726e-01
4.153019190000000e-03, -6.714783200734960e-02
4.258311910000000e-03, 1.775560904487217e-01
4.363604260000000e-03, 2.341687684842890e-01
4.468896990000000e-03, 2.387044152268513e-01
4.574189710000000e-03, 1.581002043629113e-01
4.679482060000000e-03, 4.301755918226052e-02
4.784774780000001e-03, 2.312881718961810e-01
4.890067500000000e-03, 2.227874085552477e-01
4.995359850000001e-03, 3.065651321038839e-01
5.100652580000000e-03, 3.246986455454649e-01
5.205945300000001e-03, 3.641919662488897e-01
5.326279630000000e-03, 2.971569854230661e-01
5.461655930000000e-03, 2.959453769460192e-01
5.597031860000001e-03, 2.231517416196406e-01
5.732408170000001e-03, 1.621055754347043e-01
5.867784470000001e-03, 8.769343229529176e-02
6.003160400000001e-03, 7.887831046673745e-02
6.138536710000000e-03, 5.599846859280704e-02
6.273912640000000e-03, 1.199640372133266e-01
6.409288940000001e-03, 1.714316362072597e-01
6.559707220000000e-03, 1.651577801750616e-01
6.725166740000001e-03, 2.280821565225348e-01
6.890627000000001e-03, 2.876697221022897e-01
7.056086510000000e-03, 3.479571061944184e-01
7.221546020000000e-03, 3.748621147475185e-01
7.387006280000000e-03, 4.223693308750975e-01
7.552465800000000e-03, 4.657817399236950e-01
7.717925310000000e-03, 4.653906036280280e-01
7.898427550000002e-03, 4.125125668081669e-01
8.093971010000001e-03, 4.043033584174305e-01
8.289513740000001e-03, 3.484012316281499e-01
8.485057200000000e-03, 3.376858797575342e-01
8.680600670000000e-03, 3.115001562820172e-01
8.876144140000000e-03, 2.795247038056456e-01
9.071687610000000e-03, 2.770741079596708e-01
9.282273050000001e-03, 2.455627860577436e-01
9.507899730000000e-03, 2.086681304965968e-01
9.733527150000001e-03, 1.802070603775937e-01
9.959153830000001e-03, 1.856112862432265e-01
1.018478050000000e-02, 1.480637643521070e-01
1.041040790000000e-02, 1.298169330460066e-01
1.065107660000000e-02, 1.231298847911526e-01
1.090678720000000e-02, 1.191153803897312e-01
1.116249780000000e-02, 8.392056822699535e-02
1.141820850000000e-02, 5.848678318271475e-02
1.167391910000000e-02, 4.263791038406761e-02
